cellId,mode,difficulty,policy,collection,rules,discoveryCount,n,wins,winRate,winCiLow,winCiHigh,meanCleared,meanHands,meanDiscards,meanCoins,meanCoinsCiLow,meanCoinsCiHigh,p10Coins,medianCoins,p90Coins,modeledMeanMinutes,modeledCoinsPerMinute,wood100RunsEquivalent,gold300RunsEquivalent,censored
daily/medium/adaptive/full/shared,daily,medium,adaptive,full,shared,102,150,13,0.08666666666666667,0.05134668856955886,0.1426294531242353,7.726666666666667,21.426666666666666,8.986666666666666,0,0.0,0.0,0.0,0.0,0.0,7.925281777777778,0.0,,,0
daily/medium/adaptive/mid/shared,daily,medium,adaptive,mid,shared,25,150,11,0.07333333333333333,0.04143838680502927,0.12653698526598406,8.14,22.446666666666665,11.446666666666667,0,0.0,0.0,0.0,0.0,0.0,8.702843,0.0,,,0
daily/medium/adaptive/new/shared,daily,medium,adaptive,new,shared,10,150,22,0.14666666666666667,0.09889364963827856,0.21208595535802932,10.1,25.573333333333334,13.213333333333333,0,0.0,0.0,0.0,0.0,0.0,10.533201777777778,0.0,,,0
endless/easy/adaptive/full/astra,endless,easy,adaptive,full,astra,102,250,159,0.636,0.5747152623980124,0.6931683311500901,14.28,30.532,12.636,129.184,124.11082066607355,134.25717933392644,94.0,130.0,182.99999999999994,12.2586458,10.538195010088309,0.7740896705474363,2.322269011642309,19
endless/hard/adaptive/full/astra,endless,hard,adaptive,full,astra,102,250,33,0.132,0.09555744444267568,0.17958106713304717,9.432,24.392,11.108,82.096,78.28748952800194,85.90451047199807,42.0,78.0,130.0,9.4423272,8.694466762388831,1.2180861430520367,3.6542584291561098,0
endless/medium/adaptive/full/astra,endless,medium,adaptive,full,astra,102,250,59,0.236,0.1876058720228644,0.2923847993249367,10.86,26.212,11.624,95.408,91.32205221315081,99.49394778684919,60.0,94.0,130.0,10.293393866666666,9.268857408532856,1.0481301358376656,3.1443904075129967,1
gauntlet/medium/adaptive/full/shared,gauntlet,medium,adaptive,full,shared,102,150,24,0.16,0.10993931727556672,0.22704105734352203,5.64,16.573333333333334,7.266666666666667,17.493333333333332,16.1066295437769,18.880037122889764,10.0,13.0,35.0,6.019489666666667,2.906115684557755,5.716463414634147,17.14939024390244,0
gauntlet/medium/adaptive/mid/shared,gauntlet,medium,adaptive,mid,shared,25,150,14,0.09333333333333334,0.056411348659597745,0.15056517784558682,5.653333333333333,16.713333333333335,7.593333333333334,16.88,15.69411439102083,18.065885608979166,10.0,17.0,21.0,6.228537222222223,2.710106626604945,5.924170616113744,17.77251184834123,0
gauntlet/medium/adaptive/new/shared,gauntlet,medium,adaptive,new,shared,10,150,63,0.42,0.34397871737684205,0.5000166648864729,6.78,17.94,8.213333333333333,24.486666666666668,22.930027518113974,26.043305815219362,10.0,21.0,35.0,7.01316511111111,3.491528614929072,4.083855159270351,12.251565477811052,0
normal/easy/adaptive/full/astra,normal,easy,adaptive,full,astra,102,250,161,0.644,0.5828767221362727,0.7007647298558357,11.408,19.924,7.2,104.864,103.1622714932433,106.56572850675671,94.0,114.0,114.0,8.579125666666666,12.223157006248151,0.9536161122978334,2.8608483368935,0
normal/easy/adaptive/mid/astra,normal,easy,adaptive,mid,astra,25,250,165,0.66,0.5992527876077032,0.7159043812724175,11.392,19.472,10.32,104.888,103.11492105724892,106.66107894275109,94.0,114.0,114.0,8.875328,11.817929433143203,0.9533979101517809,2.8601937304553426,0
normal/easy/adaptive/new/astra,normal,easy,adaptive,new,astra,10,250,171,0.684,0.6239541772841809,0.7384765669279577,11.636,18.94,8.8,107.264,105.97029323843256,108.55770676156743,94.0,114.0,114.0,8.960305666666667,11.971020185062883,0.9322792362768497,2.796837708830549,0
normal/easy/handRanking/full/astra,normal,easy,handRanking,full,astra,102,250,89,0.356,0.2992352701441643,0.41712327786372716,10.648,22.488,0.704,95.112,92.9314609091361,97.29253909086388,68.0,94.0,114.0,8.4852208,11.209136714509539,1.051392043065018,3.1541761291950543,0
normal/easy/handRanking/mid/astra,normal,easy,handRanking,mid,astra,25,250,7,0.028,0.013627884857773491,0.056658466945870976,9.036,21.728,0.704,77.688,75.81926690673767,79.55673309326234,60.0,78.0,94.0,7.9392960666666665,9.785250398479912,1.2872000823808052,3.8616002471424156,0
normal/easy/handRanking/new/astra,normal,easy,handRanking,new,astra,10,250,15,0.06,0.036694082794353496,0.0966237027853151,9.904,21.828,0.628,85.448,83.70084981885462,87.19515018114537,68.0,94.0,94.0,8.436256333333334,10.128663310333268,1.170302406141747,3.5109072184252414,0
normal/hard/adaptive/full/astra,normal,hard,adaptive,full,astra,102,250,33,0.132,0.09555744444267568,0.17958106713304717,9.06,22.384,9.632,78.96,76.24630842770254,81.67369157229744,42.0,82.0,114.0,8.761091866666668,9.012575281902839,1.2664640324214793,3.799392097264438,0
normal/hard/adaptive/mid/astra,normal,hard,adaptive,mid,astra,25,250,10,0.04,0.02186967487695694,0.07205346459269657,8.892,22.36,12.928,76.44,74.09225970744524,78.78774029255476,42.0,78.0,94.0,9.155825866666667,8.34878263448552,1.3082155939298796,3.924646781789639,0
normal/hard/adaptive/new/astra,normal,hard,adaptive,new,astra,10,250,8,0.032,0.016302169731072406,0.061863111294575085,9.932,23.86,14.016,85.304,83.5647253929836,87.0432746070164,68.0,94.0,94.0,10.270003666666668,8.306131406444484,1.1722779705523774,3.516833911657132,0
normal/hard/handRanking/full/astra,normal,hard,handRanking,full,astra,102,250,10,0.04,0.02186967487695694,0.07205346459269657,6.848,19.912,0.536,58.968,56.2892806064157,61.646719393584306,34.0,60.0,94.0,6.763934266666666,8.718003114045638,1.6958350291683624,5.087505087505087,0
normal/hard/handRanking/mid/astra,normal,hard,handRanking,mid,astra,25,250,0,0.0,0,0.015133847249623387,5.416,16.424,0.548,46.144,44.529713698695325,47.75828630130467,33.20000000000002,42.0,60.0,5.595073533333333,8.247255326510276,2.167128987517337,6.5013869625520115,0
normal/hard/handRanking/new/astra,normal,hard,handRanking,new,astra,10,250,0,0.0,0,0.015133847249623387,6.412,18.396,0.464,54.768,53.20970123330875,56.32629876669125,42.0,60.0,68.0,6.5170908,8.403749722191995,1.8258837277242186,5.4776511831726555,0
