basePerHeat,everyThirdHeatExtra,winBonus,heatBandIncrease,fullWin,basicCalibrationMean,adaptiveCalibrationMean,maxExitRateRatio,objective
4,0,20,3,122,49.6,85.736,0.9100923157062784,0.08240753777777761
2,8,10,3,120,51.536,86.232,0.9744812235318072,0.08669440000000006
3,8,20,2,124,52.68,86.6,1.0073924180117992,0.12320177777777794
3,4,10,3,116,50.568,84.384,0.9602480307107288,0.14340159999999993
4,4,20,2,120,51.712,84.752,0.9813398508104393,0.1517161244444448
4,2,10,3,120,53.872,88.52,0.9629559583385063,0.15965895111111117
5,4,30,1,124,52.856,85.12,1.122547890864923,0.19147639683742942
5,0,20,2,116,50.744,82.904,0.9541258162688276,0.22932743111111134
3,6,10,3,124,54.84,90.368,0.9764823441508635,0.23485788444444472
6,0,30,1,120,51.888,83.272,1.1033701731360805,0.23691845564684794
4,0,10,3,112,49.6,82.536,0.945377468975883,0.24920575999999992
3,10,30,1,124,50.52,82.832,1.1535551051576958,0.25400574541872634
2,10,20,2,120,49.376,82.464,1.0025333923151531,0.2562995200000001
5,2,20,2,124,55.016,88.888,0.9870599492825961,0.25709831111111087
3,8,10,2,114,52.68,83.4,1.0460453645062568,0.26542399999999966
2,6,20,3,122,47.264,83.448,0.9205526581207906,0.26565120000000025
5,2,10,2,114,55.016,85.688,1.0239214915954558,0.33423964444444415
4,4,10,2,110,51.712,81.552,1.0198464174500486,0.34650367999999965
4,2,30,2,122,47.44,81.968,0.9093009093305418,0.352260551111111
4,6,30,1,120,49.552,80.984,1.1177795850951717,0.36581708694702975
4,6,10,2,118,55.984,87.536,1.0487965309788758,0.3850660977777779
4,8,20,1,118,53.824,83.768,1.2007006377315572,0.39996725862744936
5,4,20,1,114,52.856,81.92,1.1663974178518342,0.4069980745569061
3,6,20,2,116,48.408,80.616,0.9750328135846645,0.41672000000000003
3,2,20,3,118,46.296,81.6,0.9046125388573905,0.45079616000000045
5,0,10,2,106,50.744,79.704,0.9924325839600383,0.4766803200000006
3,10,10,2,122,56.952,89.384,1.0726429953873438,0.4849895111111108
6,2,20,1,118,56.16,86.056,1.1687772034663138,0.4864323675109511
6,0,20,1,110,51.888,80.072,1.1474652944523394,0.49173655786402226
2,6,10,3,112,47.264,80.248,0.9572609686828797,0.49753031111111057
2,10,10,2,110,49.376,79.264,1.043007085989564,0.516167964444445
7,0,40,0,124,53.032,83.64,1.2816014813520524,0.5355390242340783
5,2,30,1,116,48.584,79.136,1.0803331905614706,0.5446127644444448
5,0,10,3,124,57.176,92.656,0.9654221317643218,0.5463023644444449
3,10,20,1,114,50.52,79.632,1.1999105443844467,0.5603183750335714
5,6,20,1,122,57.128,87.904,1.201416381195076,0.609891503442084
4,2,20,2,112,47.44,78.768,0.9462418359740737,0.62623744
5,6,40,0,124,50.696,81.352,1.2981771262239643,0.6514282313115565
6,0,10,2,118,58.32,89.824,1.0276212872704003,0.6923616711111112
4,6,20,1,110,49.552,77.784,1.1637645520845854,0.6977817448203816
6,2,40,0,120,49.728,79.504,1.2650972406608108,0.7084233687682864
6,2,10,1,108,56.16,82.856,1.2139168077326579,0.7101022504497722
2,8,30,2,122,45.104,79.68,0.929166359989913,0.7130521599999994
4,8,10,1,108,53.824,80.568,1.248390068283898,0.717776098922399
3,6,10,2,106,48.408,77.416,1.0153359163472837,0.729153777777778
3,2,10,3,108,46.296,78.4,0.9415354996270798,0.735240604444444
5,4,10,1,104,52.856,78.72,1.213811947032803,0.7506966342991805
5,6,10,1,112,57.128,84.704,1.2468042308813274,0.8051517687483758
4,4,40,1,122,45.28,78.2,1.0289543838516326,0.8416284444444441
6,0,10,1,100,51.888,76.872,1.1952315675068648,0.8741728915985161
5,4,10,2,122,59.288,91.672,1.0512994466326895,0.875094257777777
