cellId,timingScenario,exitHeat,n,reachedExit,modeledExitCoinsPerMinute,modeledFullCoinsPerMinute,exitRateRatio
normal/easy/adaptive/full/astra,quickFast,1,250,250,15.260931405165524,29.06155608335952,0.5251243726038415
normal/easy/adaptive/full/astra,quickFast,3,250,250,16.23566390876854,29.06155608335952,0.5586646448730591
normal/easy/adaptive/full/astra,quickFast,6,250,250,21.245066477100586,29.06155608335952,0.7310367833078762
normal/easy/adaptive/full/astra,quickFast,9,250,234,24.557979344045716,29.06155608335952,0.8450331865783152
normal/easy/adaptive/full/astra,typicalNormal,1,250,250,7.144333638475759,12.515960736791477,0.5708178372176038
normal/easy/adaptive/full/astra,typicalNormal,3,250,250,7.227097568708021,12.515960736791477,0.5774305081881169
normal/easy/adaptive/full/astra,typicalNormal,6,250,250,9.294517749815652,12.515960736791477,0.742613207669613
normal/easy/adaptive/full/astra,typicalNormal,9,250,234,10.648061586639717,12.515960736791477,0.8507586281681956
normal/easy/adaptive/full/astra,deliberateNormal,1,250,250,4.699150957405016,7.905141249846592,0.5944423772941704
normal/easy/adaptive/full/astra,deliberateNormal,3,250,250,4.580704687465646,7.905141249846592,0.5794589296623309
normal/easy/adaptive/full/astra,deliberateNormal,6,250,250,5.862553256114783,7.905141249846592,0.7416127139067316
normal/easy/adaptive/full/astra,deliberateNormal,9,250,234,6.719732245178273,7.905141249846592,0.8500458161084316
normal/easy/adaptive/mid/astra,quickFast,1,250,250,15.260931405165524,28.1946687359745,0.54127010847599
normal/easy/adaptive/mid/astra,quickFast,3,250,250,16.070488734810596,28.1946687359745,0.5699832434741727
normal/easy/adaptive/mid/astra,quickFast,6,250,250,20.764835594099555,28.1946687359745,0.7364809208630645
normal/easy/adaptive/mid/astra,quickFast,9,250,229,23.65565825256079,28.1946687359745,0.8390117463014476
normal/easy/adaptive/mid/astra,typicalNormal,1,250,250,7.144333638475759,12.11763666649841,0.5895814369668035
normal/easy/adaptive/mid/astra,typicalNormal,3,250,250,7.147348343691366,12.11763666649841,0.5898302235329119
normal/easy/adaptive/mid/astra,typicalNormal,6,250,250,9.070207030498871,12.11763666649841,0.7485128726111455
normal/easy/adaptive/mid/astra,typicalNormal,9,250,229,10.234270508519323,12.11763666649841,0.8445764459016978
normal/easy/adaptive/mid/astra,deliberateNormal,1,250,250,4.699150957405016,7.695121281087293,0.6106662631756524
normal/easy/adaptive/mid/astra,deliberateNormal,3,250,250,4.536614448134086,7.695121281087293,0.5895442426988076
normal/easy/adaptive/mid/astra,deliberateNormal,6,250,250,5.744973455785377,7.695121281087293,0.7465734776533155
normal/easy/adaptive/mid/astra,deliberateNormal,9,250,229,6.490520321499614,7.695121281087293,0.8434591326652263
normal/easy/adaptive/new/astra,quickFast,1,250,250,15.260931405165524,28.811952147593118,0.5296736342955638
normal/easy/adaptive/new/astra,quickFast,3,250,250,16.138756003168947,28.811952147593118,0.5601410109421252
normal/easy/adaptive/new/astra,quickFast,6,250,250,21.236992610170116,28.811952147593118,0.7370896807470994
normal/easy/adaptive/new/astra,quickFast,9,250,246,24.663336688848418,28.811952147593118,0.8560106084623196
normal/easy/adaptive/new/astra,typicalNormal,1,250,250,7.144333638475759,12.387523833357323,0.5767362173897403
normal/easy/adaptive/new/astra,typicalNormal,3,250,250,7.178829917725827,12.387523833357323,0.5795209772589546
normal/easy/adaptive/new/astra,typicalNormal,6,250,250,9.285490161047731,12.387523833357323,0.749584040035799
normal/easy/adaptive/new/astra,typicalNormal,9,250,246,10.685157437791743,12.387523833357323,0.8625741174373025
normal/easy/adaptive/new/astra,deliberateNormal,1,250,250,4.699150957405016,7.9469957805659455,0.5913116210400664
normal/easy/adaptive/new/astra,deliberateNormal,3,250,250,4.570531992657493,7.9469957805659455,0.5751270189213568
normal/easy/adaptive/new/astra,deliberateNormal,6,250,250,5.920345943395102,7.9469957805659455,0.7449791225349668
normal/easy/adaptive/new/astra,deliberateNormal,9,250,246,6.840009457586595,7.9469957805659455,0.8607037988259109
normal/easy/handRanking/full/astra,quickFast,1,250,250,15.019281001986304,25.286900561940868,0.5939549991584069
normal/easy/handRanking/full/astra,quickFast,3,250,250,15.661490457062317,25.286900561940868,0.6193519217074122
normal/easy/handRanking/full/astra,quickFast,6,250,248,20.135427619909805,25.286900561940868,0.796278989217662
normal/easy/handRanking/full/astra,quickFast,9,250,209,22.746296602648787,25.286900561940868,0.8995288507949478
normal/easy/handRanking/full/astra,typicalNormal,1,250,250,7.0078042411932016,10.87490852329971,0.6444012127714767
normal/easy/handRanking/full/astra,typicalNormal,3,250,250,6.943540873326939,10.87490852329971,0.638491887858207
normal/easy/handRanking/full/astra,typicalNormal,6,250,248,8.775490851050002,10.87490852329971,0.8069484752215005
normal/easy/handRanking/full/astra,typicalNormal,9,250,209,9.82951395280905,10.87490852329971,0.9038709550291036
normal/easy/handRanking/full/astra,deliberateNormal,1,250,250,4.59633352007215,6.902191359737382,0.6659238031104129
normal/easy/handRanking/full/astra,deliberateNormal,3,250,250,4.394598520831852,6.902191359737382,0.6366961290680673
normal/easy/handRanking/full/astra,deliberateNormal,6,250,248,5.540694210324376,6.902191359737382,0.8027442186904523
normal/easy/handRanking/full/astra,deliberateNormal,9,250,209,6.2226183355033475,6.902191359737382,0.9015424248886819
normal/easy/handRanking/mid/astra,quickFast,1,250,250,15.019281001986304,19.417017113090623,0.773511240913547
normal/easy/handRanking/mid/astra,quickFast,3,250,250,15.403187415801257,19.417017113090623,0.7932828882051451
normal/easy/handRanking/mid/astra,quickFast,6,250,242,19.13508198476166,19.417017113090623,0.9854799979478368
normal/easy/handRanking/mid/astra,quickFast,9,250,141,19.96754559718949,19.417017113090623,1.0283528865887288
