"prefix","joker","rarity","winDelta","heatDelta","runs","wins","winRate","avgTerminalHeat","avgHeatsCleared","heatsClearedDelta","avgScore","avgJokerTriggersPerHand","jokerActiveHandRate","over70"
"JOKERCSV","flushfund","wild","0.507000","0.6550","1000","565","0.565000","11.8450","11.4100","1.1620","12843.46","3.8547","0.998591","0"
"JOKERCSV","trainer","wild","0.426000","0.7320","1000","484","0.484000","11.9220","11.4060","1.1580","11616.77","4.2205","0.999959","0"
"JOKERCSV","overclock","wild","0.402000","0.5240","1000","460","0.460000","11.7140","11.1740","0.9260","14587.17","4.2676","0.999937","0"
"JOKERCSV","blood_money","wild","0.364000","0.5930","1000","422","0.422000","11.7830","11.2050","0.9570","11939.08","4.0664","0.999952","0"
"JOKERCSV","survivor","wild","0.350000","0.1480","1000","408","0.408000","11.3380","10.7460","0.4980","10433.72","3.5966","1.000000","0"
"JOKERCSV","rule_breaker","wild","0.349000","-0.0940","1000","407","0.407000","11.0960","10.5030","0.2550","9552.90","3.4219","1.000000","0"
"JOKERCSV","surge","wild","0.319000","0.5380","1000","377","0.377000","11.7280","11.1050","0.8570","11259.64","4.2962","0.999517","0"
"JOKERCSV","purist","rare","0.280000","0.5670","1000","338","0.338000","11.7570","11.0950","0.8470","11733.49","4.2284","0.999953","0"
"JOKERCSV","danger_music","rare","0.277000","0.5950","1000","335","0.335000","11.7850","11.1200","0.8720","11663.63","3.7706","0.999074","0"
"JOKERCSV","modded","rare","0.227000","0.1640","1000","285","0.285000","11.3540","10.6390","0.3910","10132.87","3.6103","1.000000","0"
"JOKERCSV","safe_cracker","wild","0.223000","0.5070","1000","281","0.281000","11.6970","10.9780","0.7300","10795.55","4.1698","0.999552","0"
"JOKERCSV","perfectionist","rare","0.201000","0.4930","1000","259","0.259000","11.6830","10.9420","0.6940","12592.97","4.0248","0.999229","0"
"JOKERCSV","lastcall","rare","0.193000","0.5500","1000","251","0.251000","11.7400","10.9910","0.7430","11392.58","3.3678","0.998274","0"
"JOKERCSV","ensemble","rare","0.191000","0.6570","1000","249","0.249000","11.8470","11.0960","0.8480","11364.68","4.2467","1.000000","0"
"JOKERCSV","doubledown","rare","0.184000","0.3090","1000","242","0.242000","11.4990","10.7410","0.4930","10897.03","3.5222","0.998770","0"
"JOKERCSV","storm_harness","rare","0.180000","0.1500","1000","238","0.238000","11.3400","10.5780","0.3300","10026.91","3.6178","1.000000","0"
"JOKERCSV","roulette","rare","0.171000","-0.1320","1000","229","0.229000","11.0580","10.2870","0.0390","11479.21","4.3244","0.999956","0"
"JOKERCSV","face_value","rare","0.170000","0.4600","1000","228","0.228000","11.6500","10.8780","0.6300","11091.53","3.9987","1.000000","0"
"JOKERCSV","tailor","rare","0.162000","0.5420","1000","220","0.220000","11.7320","10.9520","0.7040","10924.15","3.9147","0.999916","0"
"JOKERCSV","marathoner","rare","0.154000","0.5800","1000","212","0.212000","11.7700","10.9820","0.7340","11224.88","4.2695","0.999956","0"
"JOKERCSV","chaos_theory","rare","0.152000","0.2550","1000","210","0.210000","11.4450","10.6550","0.4070","10146.07","3.6462","1.000000","0"
"JOKERCSV","allin","rare","0.151000","0.2720","1000","209","0.209000","11.4620","10.6710","0.4230","12578.17","4.1063","0.999969","0"
"JOKERCSV","miser","rare","0.140000","0.6520","1000","198","0.198000","11.8420","11.0400","0.7920","11390.91","4.2733","1.000000","0"
"JOKERCSV","underdog","rare","0.139000","0.5170","1000","197","0.197000","11.7070","10.9040","0.6560","11529.22","3.9199","0.999556","0"
"JOKERCSV","prism_lens","uncommon","0.127000","0.3500","1000","185","0.185000","11.5400","10.7250","0.4770","10610.24","3.8833","0.999347","0"
"JOKERCSV","master_class","uncommon","0.108000","0.1640","1000","166","0.166000","11.3540","10.5200","0.2720","9902.32","3.8661","0.998577","0"
"JOKERCSV","suit_swap","uncommon","0.106000","0.6900","1000","164","0.164000","11.8800","11.0440","0.7960","11458.74","3.3066","0.999413","0"
"JOKERCSV","color_wash","rare","0.103000","0.3110","1000","161","0.161000","11.5010","10.6620","0.4140","10398.69","3.9169","0.999554","0"
"JOKERCSV","hoarder","uncommon","0.095000","0.5200","1000","153","0.153000","11.7100","10.8630","0.6150","10799.39","4.2852","1.000000","0"
"JOKERCSV","ace_in_the_hole","uncommon","0.093000","0.2510","1000","151","0.151000","11.4410","10.5920","0.3440","10355.96","3.6977","0.999246","0"
"JOKERCSV","roller","uncommon","0.088000","0.4310","1000","146","0.146000","11.6210","10.7670","0.5190","10626.31","4.2457","1.000000","0"
"JOKERCSV","pocketflush","uncommon","0.087000","0.5310","1000","145","0.145000","11.7210","10.8660","0.6180","10745.38","2.9595","0.996947","0"
"JOKERCSV","understudy","uncommon","0.086000","0.5430","1000","144","0.144000","11.7330","10.8770","0.6290","10941.46","3.1806","0.999299","0"
"JOKERCSV","redline","uncommon","0.084000","0.3270","1000","142","0.142000","11.5170","10.6590","0.4110","12063.87","3.5490","0.998502","0"
"JOKERCSV","dividend","uncommon","0.081000","0.0880","1000","139","0.139000","11.2780","10.4170","0.1690","9712.84","3.4528","0.999555","0"
"JOKERCSV","wire","uncommon","0.077000","0.3600","1000","135","0.135000","11.5500","10.6850","0.4370","10750.83","3.7277","0.997551","0"
"JOKERCSV","butcher","rare","0.077000","0.1910","1000","135","0.135000","11.3810","10.5160","0.2680","9884.67","4.2700","0.999394","0"
"JOKERCSV","glass_joystick","uncommon","0.073000","0.0140","1000","131","0.131000","11.2040","10.3350","0.0870","11467.42","4.3719","0.999013","0"
"JOKERCSV","rainbow","uncommon","0.065000","0.5470","1000","123","0.123000","11.7370","10.8600","0.6120","11435.74","3.7051","0.999781","0"
"JOKERCSV","comboist","uncommon","0.053000","0.4340","1000","111","0.111000","11.6240","10.7350","0.4870","10430.64","4.2729","1.000000","0"
"JOKERCSV","boostfiend","uncommon","0.048000","0.1360","1000","106","0.106000","11.3260","10.4320","0.1840","9741.11","4.0681","0.998827","0"
"JOKERCSV","frequency_meter","uncommon","0.047000","0.3040","1000","105","0.105000","11.4940","10.5990","0.3510","10150.93","3.6182","0.999282","0"
"JOKERCSV","metronome","uncommon","0.047000","0.0230","1000","105","0.105000","11.2130","10.3180","0.0700","9478.41","3.5098","0.999251","0"
"JOKERCSV","uniform","uncommon","0.046000","0.2000","1000","104","0.104000","11.3900","10.4940","0.2460","9966.70","4.1110","0.999397","0"
"JOKERCSV","dumpster","uncommon","0.040000","0.2010","1000","98","0.098000","11.3910","10.4890","0.2410","9846.35","3.8978","0.999727","0"
"JOKERCSV","overtime","rare","0.034000","0.0370","1000","92","0.092000","11.2270","10.3190","0.0710","9470.87","3.9291","0.999526","0"
"JOKERCSV","warm_up","uncommon","0.032000","0.2430","1000","90","0.090000","11.4330","10.5230","0.2750","10021.61","3.8214","0.999108","0"
