"prefix","joker","rarity","winDelta","heatDelta","runs","wins","winRate","avgTerminalHeat","avgHeatsCleared","heatsClearedDelta","avgScore","avgJokerTriggersPerHand","jokerActiveHandRate","over70"
"PAIRCSV","rule_breaker+safe_cracker","wild+rare","0.751000","0.8040","1000","806","0.806000","11.8340","11.6400","1.5550","11875.42","3.6235","1.000000","1"
"PAIRCSV","trainer+survivor","wild+wild","0.746000","0.8960","1000","801","0.801000","11.9260","11.7270","1.6420","12429.24","3.8975","1.000000","1"
"PAIRCSV","survivor+safe_cracker","wild+rare","0.741000","0.9180","1000","796","0.796000","11.9480","11.7440","1.6590","12591.39","3.7937","1.000000","1"
"PAIRCSV","trainer+rule_breaker","wild+wild","0.736000","0.8380","1000","791","0.791000","11.8680","11.6590","1.5740","11852.23","3.7821","1.000000","1"
"PAIRCSV","flushfund+trainer","wild+wild","0.699000","0.9060","1000","754","0.754000","11.9360","11.6900","1.6050","13455.40","4.1333","0.999273","1"
"PAIRCSV","blood_money+rule_breaker","wild+wild","0.699000","0.6740","1000","754","0.754000","11.7040","11.4580","1.3730","12175.44","3.6201","0.999764","1"
"PAIRCSV","flushfund+rule_breaker","wild+wild","0.696000","0.6490","1000","751","0.751000","11.6790","11.4300","1.3450","12634.96","3.3585","0.999076","1"
"PAIRCSV","flushfund+survivor","wild+wild","0.694000","0.6830","1000","749","0.749000","11.7130","11.4620","1.3770","13639.17","3.5259","0.998979","1"
"PAIRCSV","blood_money+survivor","wild+wild","0.692000","0.7030","1000","747","0.747000","11.7330","11.4800","1.3950","13024.79","3.7729","0.999752","1"
"PAIRCSV","overclock+rule_breaker","wild+wild","0.690000","0.6130","1000","745","0.745000","11.6430","11.3880","1.3030","14207.46","3.7332","1.000000","1"
"PAIRCSV","trainer+danger_music","wild+rare","0.683000","0.9250","1000","738","0.738000","11.9550","11.6930","1.6080","12917.98","4.0513","0.998953","1"
"PAIRCSV","rule_breaker+danger_music","wild+rare","0.675000","0.6240","1000","730","0.730000","11.6540","11.3840","1.2990","11950.51","3.2427","0.998909","1"
"PAIRCSV","flushfund+blood_money","wild+wild","0.669000","0.7590","1000","724","0.724000","11.7890","11.5130","1.4280","14777.62","3.9826","0.999183","1"
"PAIRCSV","trainer+blood_money","wild+wild","0.663000","0.9250","1000","718","0.718000","11.9550","11.6730","1.5880","13125.72","4.3581","1.000000","1"
"PAIRCSV","overclock+survivor","wild+wild","0.660000","0.6250","1000","715","0.715000","11.6550","11.3700","1.2850","15674.58","3.8996","1.000000","1"
"PAIRCSV","survivor+danger_music","wild+rare","0.658000","0.6870","1000","713","0.713000","11.7170","11.4300","1.3450","12398.80","3.3962","0.998996","1"
"PAIRCSV","trainer+modded","wild+rare","0.654000","0.8880","1000","709","0.709000","11.9180","11.6270","1.5420","12070.26","3.9118","1.000000","1"
"PAIRCSV","flushfund+safe_cracker","wild+rare","0.652000","0.8840","1000","707","0.707000","11.9140","11.6210","1.5360","13558.90","3.9871","0.999263","1"
"PAIRCSV","flushfund+surge","wild+wild","0.650000","0.8880","1000","705","0.705000","11.9180","11.6230","1.5380","14174.96","4.0159","0.999031","1"
"PAIRCSV","flushfund+danger_music","wild+rare","0.649000","0.7670","1000","704","0.704000","11.7970","11.5010","1.4160","13697.92","3.5873","0.996448","1"
"PAIRCSV","flushfund+modded","wild+rare","0.640000","0.6870","1000","695","0.695000","11.7170","11.4120","1.3270","12982.65","3.5344","0.999056","0"
"PAIRCSV","modded+safe_cracker","rare+rare","0.638000","0.9090","1000","693","0.693000","11.9390","11.6320","1.5470","12177.05","3.8068","1.000000","0"
"PAIRCSV","rule_breaker+purist","wild+wild","0.636000","0.6050","1000","691","0.691000","11.6350","11.3260","1.2410","11790.59","3.7389","0.999724","0"
"PAIRCSV","blood_money+danger_music","wild+rare","0.600000","0.7150","1000","655","0.655000","11.7450","11.4000","1.3150","12983.55","3.8580","0.998765","0"
"PAIRCSV","survivor+purist","wild+wild","0.598000","0.6590","1000","653","0.653000","11.6890","11.3420","1.2570","12524.24","3.8941","0.999758","0"
"PAIRCSV","overclock+blood_money","wild+wild","0.595000","0.6070","1000","650","0.650000","11.6370","11.2870","1.2020","17934.20","4.3165","1.000000","0"
"PAIRCSV","flushfund+overclock","wild+wild","0.594000","0.6880","1000","649","0.649000","11.7180","11.3670","1.2820","18681.14","4.1116","0.999214","0"
"PAIRCSV","flushfund+purist","wild+wild","0.580000","0.7460","1000","635","0.635000","11.7760","11.4110","1.3260","14158.84","4.1283","0.998893","0"
"PAIRCSV","trainer+purist","wild+wild","0.578000","0.9040","1000","633","0.633000","11.9340","11.5670","1.4820","12905.80","4.4844","1.000000","0"
"PAIRCSV","blood_money+modded","wild+rare","0.577000","0.7040","1000","632","0.632000","11.7340","11.3660","1.2810","12448.14","3.7791","0.999759","0"
"PAIRCSV","trainer+safe_cracker","wild+rare","0.574000","0.9080","1000","629","0.629000","11.9380","11.5670","1.4820","12058.46","4.4994","0.999827","0"
"PAIRCSV","overclock+danger_music","wild+rare","0.559000","0.6220","1000","614","0.614000","11.6520","11.2660","1.1810","14672.50","3.8292","0.999038","0"
