level,name,targetScore,targetClearRate,observedClearRate,layouts,solverPassed,allSolverPassed,recommendedLoadout
1,First Pair,0,0.95,1.0,12,12,True,
2,Pair Practice,0,0.94,1.0,12,12,True,
3,Two at Once,0,0.93,1.0,12,12,True,
4,Double Two,0,0.92,0.9896,12,12,True,
5,Triple Two,0,0.9,0.9167,12,12,True,
6,Three Together,0,0.9,1.0,12,12,True,
7,Run It,0,0.89,1.0,12,12,True,
8,Same Suit,0,0.88,1.0,12,12,True,
9,Full House,0,0.86,0.8438,12,12,True,
10,First Score Test,515,0.85,0.8333,12,12,True,
11,Pair Chain,145,0.837,0.875,12,12,True,
12,Two Pair Chain,240,0.824,0.8125,12,12,True,
13,Mixed Set,305,0.811,0.8438,12,12,True,
14,Straight Practice,455,0.798,0.7708,12,12,True,
15,Flush Practice,530,0.785,0.7812,12,12,True,
16,House Party,425,0.772,0.7812,12,12,True,
17,Four Strong,600,0.759,0.75,12,12,True,
18,Variety Pack,550,0.746,0.7639,12,12,True,
19,No Waste,450,0.733,0.7604,12,12,True,
20,Basics Final,535,0.72,0.7396,12,12,True,
21,No High Cards,380,0.7405,0.7812,12,12,True,
22,Pairs Only,245,0.731,0.6979,12,12,True,
23,Red Heat,430,0.7215,0.7292,12,12,True,
24,Blackout,480,0.712,0.7292,12,12,True,
25,Face Off,410,0.7025,0.7188,12,12,True,
26,Ace Lock,485,0.693,0.7125,20,20,True,
27,Repeat Tax,435,0.6835,0.6562,12,12,True,
28,Costly Discards,480,0.674,0.6562,12,12,True,
29,Final Hand,410,0.6645,0.6562,12,12,True,
30,Modifier Checkpoint,450,0.655,0.6042,12,12,True,
31,One of Each,460,0.6455,0.6458,12,12,True,
32,In Order,300,0.636,0.5625,12,12,True,
33,Even Lock,625,0.6265,0.6438,20,20,True,
34,Odd Lock,610,0.617,0.6375,20,20,True,
35,Suit Shift,455,0.6075,0.5729,12,12,True,
36,Shrinking Discards,485,0.598,0.625,12,12,True,
37,Four Hands,370,0.5885,0.5833,12,12,True,
38,Two Discards,480,0.579,0.5521,12,12,True,
39,Rising Pressure,375,0.5695,0.6944,12,12,True,
40,Modifier Final,420,0.56,0.7014,12,12,True,
41,Quarter Blocked,445,0.6405,0.6,20,20,True,
42,Pairs Through It,335,0.631,0.6062,20,20,True,
43,Double Pair,360,0.6215,0.6375,20,20,True,
44,Broken Run,380,0.612,0.6312,20,20,True,
45,Thin Suit,410,0.6025,0.5938,20,20,True,
46,Forty Down,450,0.593,0.6125,20,20,True,
47,Adapt,515,0.5835,0.5875,20,20,True,
48,Half Deck,385,0.574,0.575,20,20,True,
49,Find a Route,395,0.5645,0.5625,20,20,True,
50,Half-Deck Final,420,0.555,0.6,20,20,True,
51,Half and No High,405,0.5455,0.5312,20,20,True,
52,Half and Tight,475,0.536,0.5,20,20,True,
53,Half and Faceless,385,0.5265,0.5687,20,20,True,
