"prefix","joker","rarity","winDelta","progressDelta","runs","wins","winRate","avgTerminalHeat","avgHeatsCleared","heatsClearedDelta","avgScore","avgJokerTriggersPerHand","jokerActiveHandRate","over70","progressDeltaExact","avgProgress","terminalHeatDelta","controlRuns","controlWins","controlWinRate","controlAvgProgress","controlAvgTerminalHeat","controlAvgHeatsCleared","controlAvgScore","difficulty"
"JOKERCSV","rarity_hunter","rare","0.345000","0.403979","200","121","0.605000","11.5700","11.1750","0.670000","14972.07","3.2883","0.978916","0","0.403979","11.459012","0.325000","200","52","0.260000","11.055033","11.2450","10.5050","11463.15","medium"
"JOKERCSV","trainer","wild","0.285000","0.538186","200","120","0.600000","11.8500","11.4500","0.720000","13247.45","3.2685","0.994960","0","0.538186","11.765260","0.435000","200","63","0.315000","11.227074","11.4150","10.7300","11908.91","medium"
"JOKERCSV","flushfund","uncommon","0.245000","0.266639","200","113","0.565000","11.6600","11.2250","0.445000","13826.75","2.9435","0.977710","0","0.266639","11.533873","0.200000","200","64","0.320000","11.267234","11.4600","10.7800","11938.92","medium"
"JOKERCSV","blood_money","wild","0.195000","0.471692","200","92","0.460000","11.6050","11.0650","0.620000","13772.09","3.2270","0.980895","0","0.471692","11.463081","0.425000","200","53","0.265000","10.991389","11.1800","10.4450","11488.92","medium"
"JOKERCSV","surge","wild","0.185000","0.353058","200","102","0.510000","11.6350","11.1450","0.475000","12795.13","3.1331","0.986164","0","0.353058","11.513115","0.290000","200","65","0.325000","11.160057","11.3450","10.6700","11899.24","medium"
"JOKERCSV","rule_breaker","uncommon","0.185000","-0.341344","200","91","0.455000","10.8650","10.3200","-0.230000","10604.65","2.5122","0.962404","0","-0.341344","10.740478","-0.415000","200","54","0.270000","11.081822","11.2800","10.5500","11760.78","medium"
"JOKERCSV","danger_music","rare","0.180000","0.339525","200","96","0.480000","11.6450","11.1250","0.460000","12883.88","2.8179","0.968915","0","0.339525","11.513141","0.280000","200","60","0.300000","11.173616","11.3650","10.6650","11824.95","medium"
"JOKERCSV","purist","rare","0.180000","0.256506","200","86","0.430000","11.5550","10.9850","0.385000","13253.49","3.2538","0.980779","0","0.256506","11.410256","0.205000","200","50","0.250000","11.153751","11.3500","10.6000","11679.79","medium"
"JOKERCSV","overclock","wild","0.180000","0.250260","200","87","0.435000","11.4150","10.8500","0.385000","14779.46","3.2429","0.983122","0","0.250260","11.267024","0.205000","200","51","0.255000","11.016765","11.2100","10.4650","11381.17","medium"
"JOKERCSV","survivor","uncommon","0.180000","-0.135807","200","101","0.505000","11.1500","10.6550","-0.025000","11635.97","2.6697","0.966880","0","-0.135807","11.036735","-0.205000","200","65","0.325000","11.172542","11.3550","10.6800","11921.83","medium"
"JOKERCSV","safe_cracker","wild","0.175000","0.517932","200","88","0.440000","11.6950","11.1350","0.635000","12745.51","3.0269","0.983467","0","0.517932","11.554824","0.460000","200","53","0.265000","11.036893","11.2350","10.5000","11655.75","medium"
"JOKERCSV","ensemble","rare","0.165000","0.608879","200","87","0.435000","11.8000","11.2350","0.720000","13458.46","3.3346","0.998839","0","0.608879","11.667508","0.555000","200","54","0.270000","11.058629","11.2450","10.5150","11580.27","medium"
"JOKERCSV","allin","rare","0.135000","0.094808","200","93","0.465000","11.4250","10.8900","0.200000","13691.44","3.3233","0.988038","0","0.094808","11.272057","0.065000","200","66","0.330000","11.177249","11.3600","10.6900","11885.48","medium"
"JOKERCSV","butcher","wild","0.110000","0.188413","200","83","0.415000","11.5150","10.9300","0.265000","12086.83","3.0668","0.982611","0","0.188413","11.362549","0.155000","200","61","0.305000","11.174136","11.3600","10.6650","11885.00","medium"
"JOKERCSV","twin_study","rare","0.100000","0.156617","200","73","0.365000","11.4750","10.8400","0.230000","12199.11","3.1604","0.982517","0","0.156617","11.304613","0.130000","200","53","0.265000","11.147996","11.3450","10.6100","11691.60","medium"
"JOKERCSV","tailor","rare","0.090000","0.217085","200","85","0.425000","11.5250","10.9500","0.280000","12395.69","3.0742","0.973960","0","0.217085","11.369621","0.190000","200","67","0.335000","11.152536","11.3350","10.6700","11900.41","medium"
"JOKERCSV","lastcall","rare","0.090000","0.022928","200","81","0.405000","11.4300","10.8350","0.085000","12152.08","2.4965","0.966861","0","0.022928","11.275399","-0.005000","200","63","0.315000","11.252471","11.4350","10.7500","11938.81","medium"
"JOKERCSV","modded","uncommon","0.085000","-0.065181","200","82","0.410000","11.2400","10.6500","-0.030000","11425.27","2.7102","0.969457","0","-0.065181","11.106063","-0.115000","200","65","0.325000","11.171245","11.3550","10.6800","11922.71","medium"
"JOKERCSV","perfectionist","rare","0.080000","0.130451","200","72","0.360000","11.4700","10.8300","0.190000","14763.16","3.0487","0.973232","0","0.130451","11.294966","0.110000","200","56","0.280000","11.164514","11.3600","10.6400","11695.08","medium"
"JOKERCSV","prism_lens","uncommon","0.075000","0.029983","200","75","0.375000","11.4150","10.7900","0.090000","11863.20","2.9205","0.975225","0","0.029983","11.242248","0.015000","200","60","0.300000","11.212265","11.4000","10.7000","11924.30","medium"
"JOKERCSV","miser","rare","0.070000","0.476926","200","77","0.385000","11.8300","11.2150","0.520000","13475.70","3.3019","0.998571","0","0.476926","11.673956","0.450000","200","63","0.315000","11.197030","11.3800","10.6950","11809.35","medium"
"JOKERCSV","hoarder","rare","0.070000","0.178928","200","67","0.335000","11.5250","10.8600","0.235000","12252.87","3.2776","0.995205","0","0.178928","11.343198","0.165000","200","53","0.265000","11.164270","11.3600","10.6250","11767.28","medium"
"JOKERCSV","collector","uncommon","0.065000","0.060314","200","75","0.375000","11.4200","10.7950","0.125000","11660.55","3.0327","0.978997","0","0.060314","11.238945","0.060000","200","62","0.310000","11.178631","11.3600","10.6700","11929.63","medium"
"JOKERCSV","boostfiend","uncommon","0.065000","0.042344","200","75","0.375000","11.4050","10.7800","0.110000","11686.10","2.9616","0.969559","0","0.042344","11.217839","0.045000","200","62","0.310000","11.175495","11.3600","10.6700","11898.66","medium"
"JOKERCSV","glass_joystick","rare","0.060000","0.051946","200","73","0.365000","11.4400","10.8050","0.100000","14502.40","3.2177","0.986871","0","0.051946","11.263945","0.040000","200","61","0.305000","11.211999","11.4000","10.7050","11768.91","medium"
"JOKERCSV","chaos_theory","uncommon","0.060000","0.004359","200","66","0.330000","11.2100","10.5400","0.015000","11148.38","2.7326","0.975653","0","0.004359","11.061448","-0.045000","200","54","0.270000","11.057089","11.2550","10.5250","11713.56","medium"
"JOKERCSV","roulette","uncommon","0.055000","-0.128022","200","65","0.325000","11.1000","10.4250","-0.085000","13666.81","3.3134","0.985009","0","-0.128022","10.920866","-0.140000","200","54","0.270000","11.048887","11.2400","10.5100","11511.26","medium"
"JOKERCSV","marathoner","rare","0.050000","0.365231","200","66","0.330000","11.6800","11.0100","0.380000","12979.21","3.2605","0.995018","0","0.365231","11.512733","0.330000","200","56","0.280000","11.147502","11.3500","10.6300","11783.25","medium"
"JOKERCSV","underdog","rare","0.045000","0.093930","200","63","0.315000","11.4300","10.7450","0.105000","12922.08","2.9747","0.976221","0","0.093930","11.264424","0.060000","200","54","0.270000","11.170494","11.3700","10.6400","11761.49","medium"
"JOKERCSV","overtime","uncommon","0.045000","-0.004859","200","72","0.360000","11.3650","10.7250","0.035000","11507.51","2.8289","0.970397","0","-0.004859","11.184327","-0.010000","200","63","0.315000","11.189187","11.3750","10.6900","11906.34","medium"
"JOKERCSV","color_wash","uncommon","0.040000","0.087665","200","70","0.350000","11.4400","10.7900","0.110000","11783.69","2.9431","0.979762","0","0.087665","11.266849","0.070000","200","62","0.310000","11.179184","11.3700","10.6800","11830.58","medium"
"JOKERCSV","roller","rare","0.040000","0.058355","200","74","0.370000","11.5100","10.8800","0.090000","12123.42","3.2892","0.983934","0","0.058355","11.332685","0.050000","200","66","0.330000","11.274331","11.4600","10.7900","12034.48","medium"
"JOKERCSV","suit_swap","rare","0.035000","0.350185","200","65","0.325000","11.5700","10.8950","0.360000","12435.29","2.5040","0.959170","0","0.350185","11.397693","0.325000","200","58","0.290000","11.047507","11.2450","10.5350","11623.78","medium"
"JOKERCSV","doubledown","rare","0.035000","-0.090892","200","73","0.365000","11.2850","10.6500","-0.060000","12088.44","2.6268","0.966275","0","-0.090892","11.106359","-0.095000","200","66","0.330000","11.197251","11.3800","10.7100","11910.23","medium"
"JOKERCSV","prime_time","common","0.030000","0.047184","200","65","0.325000","11.4200","10.7450","0.060000","11808.65","3.2907","0.983289","0","0.047184","11.245292","0.030000","200","59","0.295000","11.198108","11.3900","10.6850","11923.92","medium"
"JOKERCSV","uniform","common","0.030000","-0.005725","200","73","0.365000","11.4300","10.7950","0.000000","11913.31","3.0979","0.978607","0","-0.005725","11.270688","-0.030000","200","67","0.335000","11.276413","11.4600","10.7950","12042.76","medium"
"JOKERCSV","rainbow","rare","0.025000","-0.006697","200","61","0.305000","11.3550","10.6600","-0.005000","12432.95","2.9771","0.979226","0","-0.006697","11.182072","-0.030000","200","56","0.280000","11.188769","11.3850","10.6650","11829.67","medium"
"JOKERCSV","closer","uncommon","0.020000","0.031190","200","59","0.295000","11.3500","10.6450","0.045000","11448.00","3.1130","0.990152","0","0.031190","11.165050","0.025000","200","55","0.275000","11.133860","11.3250","10.6000","11739.81","medium"
"JOKERCSV","inktrade","common","0.020000","0.010963","200","67","0.335000","11.4400","10.7750","0.025000","11586.03","3.4399","0.986210","0","0.010963","11.264702","0.005000","200","63","0.315000","11.253739","11.4350","10.7500","11951.33","medium"
"JOKERCSV","dividend","common","0.020000","-0.015684","200","69","0.345000","11.4050","10.7500","-0.005000","11694.19","2.7932","0.970489","0","-0.015684","11.241536","-0.025000","200","65","0.325000","11.257220","11.4300","10.7550","11945.22","medium"
"JOKERCSV","leadoff","common","0.015000","0.091033","200","58","0.290000","11.4000","10.6900","0.090000","11541.61","3.2006","0.988918","0","0.091033","11.224666","0.075000","200","55","0.275000","11.133634","11.3250","10.6000","11741.07","medium"
"JOKERCSV","union_boss","common","0.015000","0.082520","200","63","0.315000","11.4600","10.7750","0.085000","11821.97","3.2457","0.982280","0","0.082520","11.284836","0.070000","200","60","0.300000","11.202316","11.3900","10.6900","11937.33","medium"
"JOKERCSV","triple3","common","0.015000","-0.023247","200","66","0.330000","11.4100","10.7400","-0.010000","11546.06","3.1473","0.979218","0","-0.023247","11.230492","-0.025000","200","63","0.315000","11.253739","11.4350","10.7500","11946.58","medium"
"JOKERCSV","comboist","uncommon","0.010000","0.175013","200","56","0.280000","11.5300","10.8100","0.180000","11902.40","3.2593","0.993924","0","0.175013","11.339802","0.170000","200","54","0.270000","11.164788","11.3600","10.6300","11781.01","medium"
"JOKERCSV","fulltable","common","0.010000","0.117530","200","66","0.330000","11.5150","10.8450","0.115000","12055.33","3.2357","0.990027","0","0.117530","11.345865","0.105000","200","64","0.320000","11.228334","11.4100","10.7300","11873.61","medium"
"JOKERCSV","piggy","common","0.010000","0.113858","200","66","0.330000","11.4600","10.7900","0.135000","11733.53","3.0638","0.978671","0","0.113858","11.266854","0.125000","200","64","0.320000","11.152996","11.3350","10.6550","11883.11","medium"
"JOKERCSV","rose_tint","common","0.010000","0.095988","200","61","0.305000","11.4800","10.7850","0.100000","11840.54","3.4217","0.985842","0","0.095988","11.296415","0.090000","200","59","0.295000","11.200427","11.3900","10.6850","11923.00","medium"
"JOKERCSV","odd_job","common","0.010000","0.059120","200","61","0.305000","11.4400","10.7450","0.060000","11823.26","3.4546","0.986790","0","0.059120","11.257141","0.050000","200","59","0.295000","11.198021","11.3900","10.6850","11922.10","medium"
"JOKERCSV","gravedigger","common","0.010000","0.033886","200","61","0.305000","11.4150","10.7200","0.035000","11755.65","3.2547","0.981099","0","0.033886","11.234313","0.025000","200","59","0.295000","11.200427","11.3900","10.6850","11921.93","medium"
"JOKERCSV","printer","rare","0.010000","0.001991","200","68","0.340000","11.3700","10.7100","0.005000","11510.42","3.0748","0.982933","0","0.001991","11.197803","-0.005000","200","66","0.330000","11.195812","11.3750","10.7050","11963.80","medium"
"JOKERCSV","kingpin","common","0.005000","0.058598","200","60","0.300000","11.4400","10.7400","0.060000","11815.26","3.1175","0.978509","0","0.058598","11.253298","0.055000","200","59","0.295000","11.194700","11.3850","10.6800","11916.21","medium"
"JOKERCSV","ice_pick","common","0.005000","0.035489","200","61","0.305000","11.4300","10.7350","0.025000","11761.95","3.2384","0.982018","0","0.035489","11.254143","0.020000","200","60","0.300000","11.218654","11.4100","10.7100","11970.56","medium"
"JOKERCSV","presser","common","0.005000","0.003120","200","67","0.335000","11.4650","10.8000","0.010000","11739.72","3.2398","0.984385","0","0.003120","11.275632","0.005000","200","66","0.330000","11.272512","11.4600","10.7900","12037.10","medium"
"JOKERCSV","master_class","uncommon","0.005000","-0.034406","200","62","0.310000","11.3350","10.6450","-0.030000","11551.29","2.8405","0.967543","0","-0.034406","11.146135","-0.035000","200","61","0.305000","11.180541","11.3700","10.6750","11851.86","medium"
"JOKERCSV","pocketflush","uncommon","0.000000","0.341814","200","61","0.305000","11.6100","10.9150","0.300000","12047.14","2.3622","0.971305","0","0.341814","11.459239","0.300000","200","61","0.305000","11.117425","11.3100","10.6150","11797.07","medium"
"JOKERCSV","retainer","common","0.000000","-0.038231","200","66","0.330000","11.4250","10.7550","-0.035000","11648.02","3.2326","0.984794","0","-0.038231","11.234855","-0.035000","200","66","0.330000","11.273086","11.4600","10.7900","12033.71","medium"
"JOKERCSV","storm_harness","uncommon","0.000000","-0.172751","200","63","0.315000","11.1700","10.4850","-0.205000","11015.93","2.7127","0.966704","0","-0.172751","11.014628","-0.205000","200","63","0.315000","11.187378","11.3750","10.6900","11843.81","medium"
"JOKERCSV","number_station","common","-0.005000","0.078058","200","62","0.310000","11.3900","10.7000","0.060000","11555.67","3.2051","0.982080","0","0.078058","11.214444","0.065000","200","63","0.315000","11.136385","11.3250","10.6400","11801.94","medium"
"JOKERCSV","polish","rare","-0.005000","0.032499","200","64","0.320000","11.4950","10.8150","0.025000","12143.87","3.1217","0.986276","0","0.032499","11.307109","0.030000","200","65","0.325000","11.274609","11.4650","10.7900","12002.55","medium"
