"prefix","joker","rarity","winDelta","progressDelta","runs","wins","winRate","avgTerminalHeat","avgHeatsCleared","heatsClearedDelta","avgScore","avgJokerTriggersPerHand","jokerActiveHandRate","over70","progressDeltaExact","avgProgress","terminalHeatDelta","controlRuns","controlWins","controlWinRate","controlAvgProgress","controlAvgTerminalHeat","controlAvgHeatsCleared","controlAvgScore","difficulty"
"PAIRCSV","trainer+survivor","wild+uncommon","0.475000","0.627192","200","162","0.810000","11.7700","11.5800","0.945000","13523.04","3.0112","0.990436","1","0.627192","11.739233","0.470000","200","67","0.335000","11.112041","11.3000","10.6350","12020.96","medium"
"PAIRCSV","trainer+flushfund","wild+uncommon","0.465000","0.642610","200","152","0.760000","11.8050","11.5650","0.970000","14374.44","3.2870","0.994485","1","0.642610","11.759475","0.505000","200","59","0.295000","11.116865","11.3000","10.5950","11927.82","medium"
"PAIRCSV","trainer+rule_breaker","wild+uncommon","0.465000","0.479703","200","156","0.780000","11.7800","11.5600","0.795000","12807.52","2.8385","0.991050","1","0.479703","11.739071","0.330000","200","63","0.315000","11.259368","11.4500","10.7650","12310.33","medium"
"PAIRCSV","flushfund+surge","uncommon+wild","0.425000","0.495944","200","145","0.725000","11.7500","11.4750","0.805000","14736.30","3.1141","0.983145","1","0.495944","11.672680","0.380000","200","60","0.300000","11.176736","11.3700","10.6700","11988.25","medium"
"PAIRCSV","flushfund+safe_cracker","uncommon+wild","0.410000","0.603225","200","142","0.710000","11.8200","11.5300","0.915000","14825.33","2.9484","0.981043","1","0.603225","11.739353","0.505000","200","60","0.300000","11.136127","11.3150","10.6150","12009.71","medium"
"PAIRCSV","rarity_hunter+surge","rare+wild","0.410000","0.506437","200","150","0.750000","11.7750","11.5250","0.795000","16718.69","3.3817","0.991484","1","0.506437","11.711338","0.385000","200","68","0.340000","11.204901","11.3900","10.7300","12112.97","medium"
"PAIRCSV","trainer+safe_cracker","wild+wild","0.405000","0.621326","200","143","0.715000","11.9250","11.6400","0.910000","13424.57","3.3585","0.989899","1","0.621326","11.850270","0.505000","200","62","0.310000","11.228944","11.4200","10.7300","12224.61","medium"
"PAIRCSV","flushfund+survivor","uncommon+uncommon","0.400000","0.271648","200","140","0.700000","11.5450","11.2450","0.570000","14007.84","2.6789","0.960874","0","0.271648","11.453433","0.170000","200","60","0.300000","11.181785","11.3750","10.6750","11998.53","medium"
"PAIRCSV","trainer+danger_music","wild+rare","0.395000","0.670926","200","148","0.740000","11.8450","11.5850","0.955000","13906.14","3.1019","0.987933","1","0.670926","11.797535","0.560000","200","69","0.345000","11.126609","11.2850","10.6300","12109.01","medium"
"PAIRCSV","rarity_hunter+trainer","rare+wild","0.395000","0.435137","200","146","0.730000","11.7150","11.4450","0.715000","15641.86","3.5276","0.999703","1","0.435137","11.651003","0.320000","200","67","0.335000","11.215865","11.3950","10.7300","12032.25","medium"
