level,name,chapter,oldTarget,newTarget,targetRatio,medianCompetent,shippedRate,desiredRate,oldHands,oldDiscards,newHands,newDiscards,method
1,First Pair,1 · Basic Hands,0,0,0.0,36.5,1.0,0.9,5,5,5,5,objective-only
2,Pair Practice,1 · Basic Hands,0,0,0.0,66.0,1.0,0.9,5,5,5,5,objective-only
3,Two at Once,1 · Basic Hands,0,0,0.0,51.0,1.0,0.9,5,5,5,5,objective-only
4,Double Two,1 · Basic Hands,0,0,0.0,110.5,1.0,0.9,5,5,5,5,objective-only
5,Triple Two,1 · Basic Hands,0,0,0.0,184.5,0.95,0.9,5,5,5,5,objective-only
6,Three Together,1 · Basic Hands,0,0,0.0,91.0,0.95,0.9,5,5,5,5,objective-only
7,Run It,1 · Basic Hands,0,0,0.0,123.0,1.0,0.9,5,5,5,5,objective-only
8,Same Suit,1 · Basic Hands,0,0,0.0,152.0,1.0,0.9,5,5,5,5,objective-only
9,Full House,1 · Basic Hands,0,0,0.0,207.0,0.975,0.9,5,5,5,5,objective-only
10,First Score Test,1 · Basic Hands,235,280,0.81,346.5,1.0,0.9,5,5,5,5,calibrated
11,Pair Chain,2 · Hand Planning,155,160,0.68,235.5,0.8,0.78,4,5,5,4,calibrated
12,Two Pair Chain,2 · Hand Planning,255,290,0.94,309.0,0.975,0.78,4,5,5,4,calibrated
13,Mixed Set,2 · Hand Planning,320,320,0.93,342.5,0.8,0.78,5,5,5,4,calibrated
14,Straight Practice,2 · Hand Planning,355,360,0.87,411.5,0.8,0.78,5,5,5,4,calibrated
15,Flush Practice,2 · Hand Planning,575,600,0.96,623.0,0.975,0.78,5,5,5,4,calibrated
16,House Party,2 · Hand Planning,390,410,0.93,439.0,0.825,0.72,5,5,5,4,calibrated
17,Four Strong,2 · Hand Planning,570,600,0.95,632.0,0.875,0.72,5,5,5,4,calibrated
18,Variety Pack,2 · Hand Planning,285,40,0.06,724.5,0.575,0.72,5,5,5,4,calibrated
19,No Waste,2 · Hand Planning,525,590,0.92,640.5,0.9,0.72,5,5,5,4,calibrated
20,Basics Final,2 · Hand Planning,375,410,0.95,432.5,0.9,0.72,5,5,5,4,calibrated
21,No High Cards,3 · Modifier Introduction,495,510,0.97,523.5,0.75,0.62,5,5,5,3,calibrated
22,Pairs Only,3 · Modifier Introduction,190,220,0.99,222.0,1.0,0.62,5,5,5,3,calibrated
23,Red Heat,3 · Modifier Introduction,595,620,0.96,646.0,0.719,0.62,5,5,5,3,calibrated
24,Blackout,3 · Modifier Introduction,530,560,0.97,578.0,0.812,0.62,5,5,5,3,calibrated
25,Face Off,3 · Modifier Introduction,490,530,0.96,550.5,0.844,0.62,5,5,5,3,calibrated
26,Ace Lock,3 · Modifier Introduction,580,600,0.98,614.0,0.817,0.62,5,5,5,3,calibrated
27,Repeat Tax,3 · Modifier Introduction,435,440,0.99,446.5,0.688,0.62,5,5,5,3,calibrated
28,Costly Discards,3 · Modifier Introduction,540,580,0.92,628.5,0.219,0.62,5,5,5,3,calibrated
29,Final Hand,3 · Modifier Introduction,500,580,0.95,608.5,0.875,0.62,5,5,5,3,calibrated
30,Modifier Checkpoint,3 · Modifier Introduction,425,470,0.94,497.5,0.844,0.62,5,5,5,3,calibrated
31,One of Each,4 · Modifier Mastery,260,340,0.94,361.0,0.938,0.62,5,5,5,3,calibrated
32,In Order,4 · Modifier Mastery,360,440,0.92,476.0,0.15,0.62,5,5,5,3,calibrated
33,Even Lock,4 · Modifier Mastery,765,800,0.97,826.0,0.817,0.62,5,5,5,3,calibrated
34,Odd Lock,4 · Modifier Mastery,670,690,0.99,698.0,0.917,0.62,5,5,5,3,calibrated
35,Suit Shift,4 · Modifier Mastery,570,580,0.98,593.0,0.75,0.62,5,5,5,3,calibrated
36,Shrinking Discards,4 · Modifier Mastery,520,540,0.95,570.0,0.719,0.62,5,4,5,3,calibrated
37,Four Hands,4 · Modifier Mastery,260,300,0.96,312.0,1.0,0.62,4,3,5,3,calibrated
38,Two Discards,4 · Modifier Mastery,525,520,0.98,532.0,0.594,0.62,5,2,5,3,calibrated
39,Rising Pressure,4 · Modifier Mastery,320,470,0.9,522.0,0.906,0.62,4,3,5,3,calibrated
40,Modifier Final,4 · Modifier Mastery,310,340,0.89,383.0,0.719,0.62,5,5,5,3,calibrated
41,Quarter Blocked,5 · Blocked Decks,430,520,0.99,524.5,0.967,0.52,5,5,4,3,calibrated
42,Pairs Through It,5 · Blocked Decks,345,370,0.99,373.5,0.767,0.52,5,5,4,3,calibrated
43,Double Pair,5 · Blocked Decks,410,450,1.0,449.0,0.933,0.52,5,5,4,3,calibrated
44,Broken Run,5 · Blocked Decks,310,410,0.98,420.5,0.767,0.52,5,5,4,3,calibrated
45,Thin Suit,5 · Blocked Decks,390,480,0.99,483.5,0.917,0.52,5,5,4,3,calibrated
46,Forty Down,5 · Blocked Decks,450,480,1.0,482.0,0.867,0.52,5,5,4,3,calibrated
47,Adapt,5 · Blocked Decks,365,420,0.99,423.0,0.767,0.52,5,5,4,3,calibrated
48,Half Deck,5 · Blocked Decks,430,470,0.99,477.0,0.733,0.52,5,5,4,3,calibrated
49,Find a Route,5 · Blocked Decks,340,400,0.99,403.5,0.8,0.52,5,5,4,3,calibrated
